DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,1:25,,,40.650826,-73.88968,"(40.650826, -73.88968)",LOUISIANA AVENUE,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3780500,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,1:45,QUEENS,11411,40.701485,-73.7486,"(40.701485, -73.7486)",,,114-15    FRANCIS LEWIS BOULEVARD,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3781990,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,1:46,,,40.861824,-73.90576,"(40.861824, -73.90576)",UNIVERSITY AVENUE,,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780746,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,1:55,MANHATTAN,10019,40.762966,-73.9819,"(40.762966, -73.9819)",WEST 53 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3780350,SPORT UTILITY / STATION WAGON,,,,
10/31/2017,1:57,,,40.722523,-73.82754,"(40.722523, -73.82754)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3780167,DS,PASSENGER VEHICLE,,,
10/31/2017,1:59,QUEENS,11414,40.64912,-73.83737,"(40.64912, -73.83737)",CROSS BAY BOULEVARD,165 AVENUE,,1,0,0,0,0,0,1,0,Alcohol Involvement,,,,,3780308,PASSENGER VEHICLE,,,,
10/31/2017,2:00,,,40.749844,-73.938995,"(40.749844, -73.938995)",QUEENS PLAZA SOUTH,28 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3780174,TAXI,TAXI,,,
10/31/2017,3:00,QUEENS,11373,40.74834,-73.87506,"(40.74834, -73.87506)",,,40-22     BENHAM STREET,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780322,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
10/31/2017,4:08,,,40.730442,-73.91367,"(40.730442, -73.91367)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780175,PASSENGER VEHICLE,DS,,,
10/31/2017,4:08,,,40.730442,-73.91367,"(40.730442, -73.91367)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780175,PASSENGER VEHICLE,DS,,,
10/31/2017,4:20,,,,,,,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3780444,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
