,Cell,CompType,Count
261,1826,Air Quality,3
262,1827,Air Quality,3
263,1830,Air Quality,1
264,1914,Air Quality,118
265,1915,Air Quality,107
266,1916,Air Quality,206
267,1917,Air Quality,18
268,1918,Air Quality,53
269,1919,Air Quality,22
270,1920,Air Quality,8
271,1921,Air Quality,3
272,1922,Air Quality,3
273,1923,Air Quality,24
274,1924,Air Quality,12
275,1925,Air Quality,8
276,1926,Air Quality,8
277,1927,Air Quality,3
278,1928,Air Quality,7
279,1929,Air Quality,2
280,2014,Air Quality,5
281,2015,Air Quality,173
282,2016,Air Quality,186
283,2017,Air Quality,70
284,2018,Air Quality,8
285,2019,Air Quality,14
286,2022,Air Quality,8
287,2023,Air Quality,104
288,2024,Air Quality,4
289,2025,Air Quality,1
290,2026,Air Quality,10
291,2027,Air Quality,1
292,2028,Air Quality,1
293,2115,Air Quality,135
294,2116,Air Quality,72
295,2117,Air Quality,58
296,2122,Air Quality,2
297,2123,Air Quality,5
298,2124,Air Quality,4
299,2125,Air Quality,5
300,2215,Air Quality,14
301,2216,Air Quality,152
302,2217,Air Quality,80
303,2218,Air Quality,13
304,2219,Air Quality,7
305,2220,Air Quality,7
306,2222,Air Quality,2
307,2316,Air Quality,47
308,2317,Air Quality,46
309,2318,Air Quality,19
310,2319,Air Quality,15
311,2320,Air Quality,9
312,2321,Air Quality,5
313,2322,Air Quality,4
314,2323,Air Quality,6
315,2325,Air Quality,1
316,2416,Air Quality,5
317,2417,Air Quality,40
318,2418,Air Quality,26
319,2419,Air Quality,27
320,2420,Air Quality,12
321,2421,Air Quality,11
322,2422,Air Quality,15
323,2423,Air Quality,2
324,2424,Air Quality,2
325,2426,Air Quality,4
326,2517,Air Quality,53
327,2518,Air Quality,36
328,2519,Air Quality,33
329,2520,Air Quality,39
330,2521,Air Quality,10
331,2522,Air Quality,10
332,2523,Air Quality,6
333,2524,Air Quality,1
334,2525,Air Quality,5
335,2617,Air Quality,4
336,2618,Air Quality,83
337,2619,Air Quality,24
338,2620,Air Quality,14
339,2621,Air Quality,17
340,2622,Air Quality,10
341,2718,Air Quality,44
342,2719,Air Quality,30
343,2720,Air Quality,49
344,2721,Air Quality,6
345,2722,Air Quality,7
346,2723,Air Quality,6
347,2818,Air Quality,8
348,2819,Air Quality,18
349,2820,Air Quality,2
350,2821,Air Quality,7
351,2822,Air Quality,17
352,2823,Air Quality,6
353,2824,Air Quality,1
354,2919,Air Quality,8
355,2921,Air Quality,6
356,2922,Air Quality,9
357,907,Animal Abuse,1
358,1918,Animal Abuse,1
359,2016,Animal Abuse,1
360,2117,Animal Abuse,3
361,2218,Animal Abuse,37
362,2219,Animal Abuse,14
363,2220,Animal Abuse,2
364,2221,Animal Abuse,4
365,2222,Animal Abuse,4
366,2223,Animal Abuse,4
367,2318,Animal Abuse,34
368,2319,Animal Abuse,35
369,2320,Animal Abuse,27
370,2321,Animal Abuse,25
371,2322,Animal Abuse,29
372,2323,Animal Abuse,9
373,2324,Animal Abuse,13
374,2325,Animal Abuse,1
375,2418,Animal Abuse,35
376,2419,Animal Abuse,36
377,2420,Animal Abuse,19
378,2421,Animal Abuse,50
379,2422,Animal Abuse,15
380,2423,Animal Abuse,5
381,2518,Animal Abuse,22
382,2519,Animal Abuse,32
383,2520,Animal Abuse,46
384,2521,Animal Abuse,23
385,2522,Animal Abuse,15
386,2523,Animal Abuse,13
