zip_code,residential_units,land_sq_feet,gross_sq_feet,year_built,sale_price,sale_date
11204,2,2508,2480,1930,865000,2009-08-03
11204,2,1800,2232,1925,550000,2012-05-18
11204,2,2300,1656,1925,450000,2003-10-27
11204,2,1800,1620,1945,595000,2008-11-24
11204,2,2003,2272,1925,799999,2010-06-01
11204,4,2700,3600,1925,885000,2005-10-03
11204,1,2000,2208,1930,350000,2006-03-14
11204,2,2500,3480,1920,110000,2004-11-22
11204,2,1800,2220,1925,560000,2010-06-09
11204,1,2500,3960,1925,790000,2005-10-12
11204,2,2400,2400,1925,380000,2012-03-14
11204,1,1667,1280,1925,568000,2008-04-01
11204,4,2700,3600,1925,477500,2010-07-28
11204,2,2000,3184,1901,788000,2012-12-19
11204,2,2500,3600,1925,450000,2009-02-17
11204,4,2775,3510,1931,725000,2003-12-18
11204,2,2078,4020,1910,950500,2010-09-01
11204,2,2513,5060,1925,700000,2004-07-12
11204,2,2450,1760,1930,300000,2005-06-21
11204,2,2092,1376,1930,695000,2006-10-04
11204,2,1150,1328,1930,555000,2008-07-08
11204,3,3000,3096,1920,760000,2006-08-25
11204,2,2500,2068,1925,725000,2006-02-21
11204,4,2533,3213,1931,250000,2010-03-22
11204,2,2170,1590,1945,400000,2003-01-07
11204,3,2000,3220,1955,600000,2006-04-21
11204,1,2104,1020,1920,399000,2011-01-20
11204,2,2003,2560,1960,555000,2003-06-25
11204,3,2554,2400,1930,146962,2006-04-12
11204,1,1747,1058,1935,480000,2006-07-01
11204,2,1650,1296,1930,380000,2003-07-15
11204,2,2475,1752,1960,375000,2010-11-08
11204,2,2667,3900,1930,800000,2012-11-20
11204,2,1420,1800,1925,677000,2012-06-28
11204,2,3005,4375,2010,469000,2009-08-04
11204,2,2755,1616,1925,395000,2011-01-25
11204,1,2092,1376,1930,420000,2003-09-17
11204,1,3005,1618,1925,875000,2010-02-11
11204,1,2000,2982,1935,386000,2003-08-01
11204,1,2000,1844,1925,370000,2011-01-18
11204,2,2500,2440,1930,750000,2010-03-18
11204,4,2542,3080,1924,690000,2003-09-24
11204,1,3150,1678,1935,700000,2007-08-01
11204,2,2300,2300,1915,475000,2010-04-23
11204,1,2300,2300,1915,638000,2011-04-12
11204,2,1833,1611,1930,499900,2006-04-06
11204,1,1700,1622,1925,400000,2008-10-23
11204,3,2400,2400,1930,830000,2006-06-20
11204,2,2917,2119,1920,567000,2005-04-22
11204,2,1326,1632,1935,478000,2011-03-29
11204,2,2400,2112,1925,527500,2004-05-25
11204,2,1610,2600,1930,650000,2009-12-14
11204,3,3400,4680,1920,975000,2012-01-04
11204,3,2500,3540,1915,800000,2006-07-01
11204,2,2003,1840,1960,735000,2007-05-14
11204,2,2400,2262,1930,215000,2006-08-21
11204,3,4000,3402,1940,882500,2006-09-15
11204,3,2500,3360,1920,850000,2010-10-28
11204,2,3205,7644,2006,495000,2004-02-02
11204,2,2705,2560,1925,998000,2008-09-18
11204,2,1485,1903,1935,575000,2011-05-12
11204,2,2608,3168,1950,775000,2011-01-06
11204,1,3000,1112,1920,600000,2005-06-15
11204,1,2092,1376,1930,550000,2005-01-27
11204,1,2000,2147,1930,231700,2006-07-20
11204,3,2050,3267,1935,550000,2005-03-14
11204,3,2000,3381,1930,300000,2007-03-07
11204,3,2800,3618,1930,827000,2006-01-09
11204,1,3000,2511,1930,530000,2008-09-05
11204,3,1900,2878,1970,725000,2005-08-18
11204,1,1700,1478,1925,590000,2005-12-27
11204,2,2425,3540,1920,400000,2007-02-22
11204,2,2504,2720,1930,995000,2010-10-28
11204,2,2400,1760,1920,500000,2004-06-29
11204,1,1600,1140,1925,495000,2005-12-27
11204,2,2000,1350,1925,583800,2009-06-03
11204,2,2017,1456,1940,508000,2007-04-11
11204,2,4000,3888,1930,890000,2009-03-04
11204,4,2500,3240,1926,650000,2003-06-04
11204,3,2000,1930,1925,760000,2012-03-22
11204,6,2304,4968,1931,660000,2004-01-30
11204,2,4000,4000,1920,700000,2005-05-17
11204,4,2667,3388,1925,359112,2003-07-01
11204,1,1352,1909,1915,350000,2005-04-05
11204,3,1939,3192,1930,670500,2006-10-30
11204,2,2440,1980,1945,520000,2003-10-01
11204,2,2000,2200,1930,555000,2007-03-08
11204,2,2500,2840,1930,785000,2006-06-16
11204,2,2500,2480,1925,300000,2005-08-10
11204,1,1603,1024,1920,450000,2004-02-04
11204,2,2325,2432,1925,813900,2009-05-07
11204,2,2289,2508,1930,200000,2012-01-30
11204,2,2500,2480,1925,915000,2011-08-30
11204,1,1750,1020,1910,400000,2007-12-13
11204,1,1740,1170,1920,400000,2011-10-19
11204,2,1440,1732,1940,200000,2011-05-20
11204,1,1803,1782,1945,499000,2012-11-15
11204,3,2000,3108,1910,655000,2004-05-20
11204,1,1200,1760,1940,635000,2011-07-14
11204,2,2450,1760,1930,270000,2004-03-15
11204,2,2450,1912,1930,662500,2005-08-30
11204,1,1740,1170,1920,540000,2007-04-23
11204,2,4007,6700,2007,850000,2006-11-15
11204,3,2500,3400,1930,850000,2011-02-22
